,sleep_frac,subject,condition
0,0.596223271313524,0,baseline
1,0.7459039155790058,1,baseline
2,0.6870313801721744,2,baseline
3,0.6489863926687032,3,baseline
4,0.8539294640377673,4,baseline
5,0.43126909191891144,5,baseline
6,0.35129130797000835,6,baseline
7,0.5876145515134685,7,baseline
0,0.4254373785059706,0,post-manipulation
1,0.3898916967509025,1,post-manipulation
2,0.3743404609830603,2,post-manipulation
3,0.5159677867259095,3,post-manipulation
4,0.09858372674257151,4,post-manipulation
5,0.37239655651208,5,post-manipulation
6,0.6731463482366009,6,post-manipulation
7,0.04970841432935296,7,post-manipulation
