,x,y,subject
0,0.1407942238267148,0.45366666666666666,0
1,0.0027770063871146904,0.5096666666666667,1
2,0.4448764232157734,0.44866666666666666,2
3,0.014718133851707858,0.4713333333333333,3
4,0.1560677589558456,0.5826666666666667,4
5,0.16800888642043876,0.3305,5
6,0.5176339905581783,0.342,6
7,0.34657039711191334,0.7038333333333333,7
8,0.14662593723965564,0.5291666666666667,8
9,0.25881699527908913,0.3398333333333333,9
10,0.14551513468480978,0.36983333333333335,10
11,0.6759233546237157,0.5591666666666667,11
