,pauses,subject,condition
0,3.283333333333333,0,late_sd
1,10.033333333333333,1,late_sd
2,0.25,2,late_sd
3,4.616666666666666,3,late_sd
4,5.766666666666667,4,late_sd
5,4.633333333333334,5,late_sd
6,2.716666666666667,6,late_sd
7,3.816666666666667,7,late_sd
8,3.433333333333333,8,late_sd
9,3.6333333333333333,9,late_sd
0,5.876156911546012,0,stim
1,7.157905005228309,1,stim
2,0.29886199593565543,2,stim
3,3.1950712382938216,3,stim
4,5.248757347154866,4,stim
5,3.5030872497647985,5,stim
6,2.8881818518997218,6,stim
7,3.3816359248877745,7,stim
8,3.662860773960123,8,stim
9,4.263961017246874,9,stim
