,sub_type,duration
0,acr,0.13827494303416665
1,acr,0.11876661512611111
2,acr,0.11375550164166666
3,acr,0.14074700249555555
4,acr,0.15077202690916666
5,control,0.16114138285333332
6,acr,0.13763890584305555
7,som,0.12514445198944446
8,som,0.11891669379361111
9,control,0.0641666666663889
10,som,0.10646931966138888
11,som,0.15089170667861113
12,acr,0.1667446719275
13,acr,0.14388888888916668
14,acr,0.13980563693611112
15,som,0.12065278795027778
16,som,0.15113898383250002
17,som,0.15411108228861112
18,som,0.13774735768666665
19,som,0.14216684871250002
20,control,0.19350006951194446
21,som,0.10027791341138889
22,halo,0.09856947157111112
23,control,0.11235012478277778
24,control,0.13099990844666667
25,halo,0.08909464518222222
26,halo,0.06
27,halo,0.06773878309472223
28,halo,0.17889170328805554
29,halo,0.05434977213555556
30,halo,0.1703807290388889
