,spin_rate,subject,probe
0,1.1368890984559046,0,NNXr
1,1.1216313443078048,1,NNXr
2,1.0277369554119111,2,NNXr
3,1.0492931053792736,3,NNXr
4,1.2280523515140247,4,NNXr
5,1.0569838894273793,5,NNXr
6,1.0206126832760898,6,NNXr
7,0.9970731053997443,7,NNXr
8,0.9299314765353075,8,NNXr
0,1.130121464741219,0,NNXo
1,1.097101495541935,1,NNXo
2,1.013549133441839,2,NNXo
3,1.0684251109108114,3,NNXo
4,1.0673956754610223,4,NNXo
5,1.0596690490172767,5,NNXo
6,1.0280881222147542,6,NNXo
7,1.0436482710202928,7,NNXo
8,0.9602731550806329,8,NNXo
