,spin_rate,subject,cond
0,0.04186046511627907,0,circ_bl
1,0.0212861304055568,1,circ_bl
2,0.029577464788732393,2,circ_bl
3,0.0277205040091638,3,circ_bl
4,0.031198298274639564,4,circ_bl
5,0.00823045267489712,5,circ_bl
6,0.04803659931376287,6,circ_bl
7,0.028089887640449437,7,circ_bl
8,0.02490886998784933,8,circ_bl
9,0.03161162856336438,9,circ_bl
0,0.004538341158059468,0,rebound
1,0.002132954141485958,1,rebound
2,0.015353311135775064,2,rebound
3,0.00683371298405467,3,rebound
4,0.010477299185098952,4,rebound
5,0.007013757755597518,5,rebound
6,0.004900504900504901,6,rebound
7,0.015134736064968624,7,rebound
8,0.006666666666666667,8,rebound
9,0.0195971692977681,9,rebound
