N,Test Type,Test Statistic,p-value-uncorrected,Effect Size Method,Effect Size,freq_bin,p-value-corrected,correction_method
5,wilcoxon signed-rank,3.0,0.3125,RBC,-0.6000000000000001,0.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,3.0,0.3125,RBC,-0.6000000000000001,0.5,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,3.0,0.3125,RBC,-0.6000000000000001,1.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,-0.4666666666666666,1.5,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,3.0,0.3125,RBC,-0.6000000000000001,2.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,5.0,0.625,RBC,-0.3333333333333333,2.5,0.8333333333333334,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,-0.4666666666666666,3.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,-0.4666666666666666,3.5,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,3.0,0.3125,RBC,-0.6000000000000001,4.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,6.0,0.8125,RBC,-0.19999999999999996,4.5,0.9285714285714286,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,7.0,1.0,RBC,-0.06666666666666665,5.0,1.0,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,7.0,1.0,RBC,-0.06666666666666665,5.5,1.0,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,-0.4666666666666666,6.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,3.0,0.3125,RBC,-0.6000000000000001,6.5,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,-0.4666666666666666,7.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,5.0,0.625,RBC,-0.3333333333333333,7.5,0.8333333333333334,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,-0.4666666666666666,8.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,5.0,0.625,RBC,-0.3333333333333333,8.5,0.8333333333333334,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,6.0,0.8125,RBC,0.19999999999999996,9.0,0.9285714285714286,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,5.0,0.625,RBC,0.3333333333333333,9.5,0.8333333333333334,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,7.0,1.0,RBC,-0.06666666666666665,10.0,1.0,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,1.0,0.125,RBC,-0.8666666666666667,10.5,0.7142857142857143,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,1.0,0.125,RBC,-0.8666666666666667,11.0,0.7142857142857143,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,5.0,0.625,RBC,-0.3333333333333333,11.5,0.8333333333333334,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,5.0,0.625,RBC,-0.3333333333333333,12.0,0.8333333333333334,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,7.0,1.0,RBC,-0.06666666666666665,12.5,1.0,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,7.0,1.0,RBC,-0.06666666666666665,13.0,1.0,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,6.0,0.8125,RBC,-0.19999999999999996,13.5,0.9285714285714286,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,0.4666666666666666,14.0,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,1.0,0.125,RBC,0.8666666666666667,14.5,0.7142857142857143,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,0.0,0.0625,RBC,1.0,15.0,0.7142857142857143,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,0.4666666666666666,15.5,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,6.0,0.8125,RBC,0.19999999999999996,16.0,0.9285714285714286,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,3.0,0.3125,RBC,0.6000000000000001,16.5,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,1.0,0.125,RBC,0.8666666666666667,17.0,0.7142857142857143,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,0.0,0.0625,RBC,1.0,17.5,0.7142857142857143,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,0.0,0.0625,RBC,1.0,18.0,0.7142857142857143,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,3.0,0.3125,RBC,0.6000000000000001,18.5,0.7291666666666667,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,6.0,0.8125,RBC,0.19999999999999996,19.0,0.9285714285714286,Benjamini-Hochberg FDR
5,wilcoxon signed-rank,4.0,0.4375,RBC,0.4666666666666666,19.5,0.7291666666666667,Benjamini-Hochberg FDR
